YEAR,LATITUDE,LONGITUDE,COUNTRY
2022,-13.8636,-42.6909,Brazil
2022,-14.5562,-42.582,Brazil
2022,-13.8294,-42.6908,Brazil
2022,-13.8419,-42.6906,Brazil
2022,-14.017,-42.6764,Brazil
2022,-14.0057,-42.6672,Brazil
2022,-14.5356,-42.5758,Brazil
2022,-14.2671,-42.5367,Brazil
2022,-13.9811,-42.679,Brazil
2022,-14.0155,-42.6633,Brazil
2022,-13.8379,-42.6486,Brazil
2022,-13.9077,-42.705,Brazil
2022,-14.3159,-42.5721,Brazil
2022,-13.9803,-42.6656,Brazil
2022,-14.2596,-42.5544,Brazil
2022,-14.2548,-42.5505,Brazil
-1,-33.925,-52.932,Brazil
2014,-3.0984,-39.6663,Brazil
2014,-3.0666,-39.7026,Brazil
2014,-3.0983,-39.6785,Brazil
2023,-6.2627,-36.5173,Brazil
2023,-6.2627,-36.5173,Brazil
2023,-6.2627,-36.5173,Brazil
2012,-5.092,-36.3377,Brazil
2014,-4.9686,-36.9009,Brazil
2015,-4.9438,-36.9918,Brazil
2014,-4.9457,-37.0036,Brazil
2015,-4.9618,-37.0355,Brazil
2020,-9.8051,-41.0227,Brazil
2020,-9.816,-41.0389,Brazil
2020,-9.8355,-41.0427,Brazil
2013,-5.3042,-35.382,Brazil
2024,-12.5779,-38.0049,Brazil
2024,-12.5779,-38.0049,Brazil
2024,-12.5779,-38.0049,Brazil
2024,-12.5779,-38.0049,Brazil
2024,-12.5779,-38.0049,Brazil
2024,-12.5779,-38.0049,Brazil
2024,-12.5779,-38.0049,Brazil
2024,-12.5779,-38.0049,Brazil
2014,-5.3291,-35.9916,Brazil
2014,-5.3828,-36.0088,Brazil
2014,-5.3596,-35.9987,Brazil
2014,-5.2529,-35.943,Brazil
2014,-5.2812,-35.9804,Brazil
2023,-11.0254,-42.6411,Brazil
2023,-11.036,-42.6145,Brazil
2023,-11.0604,-42.6306,Brazil
2023,-10.8217,-42.7266,Brazil
2023,-11.1073,-42.6292,Brazil
2023,-11.0662,-42.603,Brazil
-1,-10.9822,-42.6101,Brazil
-1,-11.0007,-42.6312,Brazil
-1,-11.0186,-42.6765,Brazil
-1,-11.0238,-42.589,Brazil
-1,-11.133,-42.6313,Brazil
-1,-11.1007,-42.6987,Brazil
2016,-11.1638,-42.6707,Brazil
2018,-11.1677,-42.6849,Brazil
2018,-11.0475,-42.6876,Brazil
2016,-11.1841,-42.7053,Brazil
2016,-11.0711,-42.6788,Brazil
2018,-11.1761,-42.7386,Brazil
2018,-11.1339,-42.6543,Brazil
2018,-11.2118,-42.7012,Brazil
2018,-11.1056,-42.6731,Brazil
2018,-11.0904,-42.683,Brazil
2018,-11.1228,-42.6841,Brazil
2018,-11.1297,-42.6985,Brazil
2019,-11.0354,-42.6321,Brazil
2018,-11.1145,-42.6711,Brazil
2019,-11.0812,-42.618,Brazil
2014,-30.3188,-50.3161,Brazil
2014,-30.3266,-50.3234,Brazil
2014,-30.2919,-50.335,Brazil
2013,-30.2915,-50.305,Brazil
2018,-5.3801,-35.8068,Brazil
2021,-5.3257,-35.7341,Brazil
2021,-5.3266,-35.7543,Brazil
2023,-5.3396,-35.7674,Brazil
2023,-5.3263,-35.794,Brazil
2024,-6.6825,-36.6333,Brazil
2016,-14.3461,-42.6137,Brazil
2016,-14.2927,-42.5853,Brazil
2016,-14.3912,-42.5939,Brazil
2016,-14.3381,-42.5911,Brazil
2016,-14.4528,-42.641,Brazil
2016,-14.4199,-42.6287,Brazil
2016,-14.3776,-42.6094,Brazil
2024,-11.1145,-41.3314,Brazil
2018,-10.9397,-41.2289,Brazil
2018,-10.913,-41.2214,Brazil
2018,-10.9761,-41.2199,Brazil
2018,-11.0064,-41.2271,Brazil
2018,-10.9582,-41.2334,Brazil
2016,-5.3698,-36.0317,Brazil
2016,-5.3022,-36.0381,Brazil
2016,-5.3449,-36.0401,Brazil
2016,-5.322,-36.0606,Brazil
2022,-9.8961,-40.4144,Brazil
2022,-9.7892,-41.0129,Brazil
2022,-9.8837,-40.4164,Brazil
2012,-10.811,-36.9292,Brazil
2008,-4.1936,-38.0766,Brazil
2019,-5.1274,-35.9326,Brazil
2019,-5.1466,-35.9362,Brazil
2019,-5.0743,-36.0307,Brazil
2019,-5.154,-35.9853,Brazil
2019,-5.1566,-35.9982,Brazil
2019,-5.156,-35.9994,Brazil
-1,-4.476,-36.4912,Brazil
2011,-28.4414,-49.5706,Brazil
2011,-28.471,-49.605,Brazil
2011,-28.4466,-49.6076,Brazil
2018,-3.8884,-41.0401,Brazil
2018,-3.8672,-41.0202,Brazil
2018,-3.9321,-41.0267,Brazil
2018,-3.9239,-41.0282,Brazil
2018,-3.8662,-41.0382,Brazil
2016,-3.9466,-41.123,Brazil
2010,-4.4469,-37.7595,Brazil
2010,-4.467,-37.758,Brazil
2010,-4.5097,-37.7608,Brazil
2008,-3.5103,-38.9164,Brazil
-1,-32.1688,-52.0739,Brazil
-1,-14.0692,-42.4852,Brazil
-1,-14.0692,-42.4852,Brazil
2015,-5.2324,-35.8266,Brazil
2015,-5.2286,-35.8808,Brazil
2015,-5.255,-35.8436,Brazil
2015,-5.2622,-35.8145,Brazil
2015,-5.472,-35.9162,Brazil
2015,-5.4421,-35.9233,Brazil
2015,-5.4873,-35.9001,Brazil
2012,-12.3512,-42.3385,Brazil
2012,-12.3124,-42.3511,Brazil
2012,-12.2742,-42.3662,Brazil
2014,-2.8853,-39.9839,Brazil
-1,-11.8221,-41.1879,Brazil
2016,-5.4183,-35.9862,Brazil
2016,-5.4799,-36.0044,Brazil
2016,-5.4643,-35.9355,Brazil
2014,-14.1846,-42.495,Brazil
2014,-14.1846,-42.495,Brazil
2014,-14.2194,-42.507,Brazil
-1,-14.4545,-42.3055,Brazil
2015,-14.1416,-42.4782,Brazil
2015,-14.1147,-42.4748,Brazil
-1,-14.1501,-42.494,Brazil
-1,-14.0744,-42.5123,Brazil
-1,-14.0754,-42.5263,Brazil
2014,-2.9158,-39.9544,Brazil
-1,-5.8153,-36.1852,Brazil
-1,-5.8007,-36.1818,Brazil
-1,-5.7964,-36.2275,Brazil
-1,-5.7881,-36.2161,Brazil
-1,-5.6083,-36.2699,Brazil
-1,-5.6207,-36.278,Brazil
-1,-5.6339,-36.2827,Brazil
-1,-5.6474,-36.2895,Brazil
-1,-5.6613,-36.2896,Brazil
-1,-5.6626,-36.2976,Brazil
-1,-5.6809,-36.303,Brazil
-1,-5.6874,-36.2743,Brazil
-1,-5.7204,-36.287,Brazil
-1,-5.7289,-36.2895,Brazil
-1,-5.7414,-36.2983,Brazil
2016,-6.0339,-36.544,Brazil
2016,-6.0166,-36.4835,Brazil
2016,-6.0489,-36.546,Brazil
2016,-6.0236,-36.472,Brazil
2016,-6.0303,-36.488,Brazil
