Capacity (MW),Status,Start Year,Latitude,Longitude
57.0,Operating,2019.0,-33.2364,-65.0546
54.0,Construction,2023.0,-38.3048,-62.2432
100.0,Operating,2020.0,-38.2099,-58.029
53.0,Operating,2019.0,-38.6943,-62.0037
53.0,Operating,2019.0,-38.7526,-61.7855
81.0,Construction,2023.0,-38.7526,-61.7855
81.0,Operating,2023.0,-38.8018,-62.0833
95.0,Accounced,2024.0,-38.6943,-62.0037
101.0,Operating,2019.0,-39.5611,-65.715
12.0,Operating,2019.0,-39.5611,-65.715
71.0,Operating,2018.0,-42.7683,-65.0959
151.0,Operating,2019.0,-42.7081,-65.2575
52.0,Operating,2012.0,-43.3514,-65.188
31.0,Operating,2012.0,-43.3514,-65.188
25.0,Operating,2017.0,-43.3514,-65.188
103.0,Operating,2020.0,-38.3466,-62.3099
101.0,Operating,2020.0,-38.3048,-62.2432
76.5,Construction,-1.0,-33.6968,-65.487
50.0,Operating,2013.0,-43.1095,-65.2471
100.0,Operating,2020.0,-38.3601,-62.2257
100.0,Operating,2020.0,-38.3598,-62.2257
53.0,Accounced,-1.0,-38.3598,-62.2257
38.0,Operating,2020.0,-38.6129,-58.8242
50.0,Operating,2020.0,-39.2145,-62.5679
101.0,Construction,2023.0,-38.2225,-58.1388
100.0,Operating,2020.0,-39.7557,-69.7624
52.0,Operating,2018.0,-40.0394,-62.6593
30.0,Operating,2009.0,12.4743,-69.8915
30.0,Construction,-1.0,13.2962,-59.5972
54.0,Operating,2021.0,-18.369,-63.1006
24.0,Operating,2016.0,-17.6501,-65.3659
40.0,Operating,2021.0,-17.8124,-62.832
14.0,Operating,2021.0,-17.5256,-63.1289
11.0,Operating,2013.0,12.2233,-68.3653
20.0,Accounced,-1.0,-2.887,-40.1195
28.0,Accounced,-1.0,-2.887,-40.1195
24.0,Accounced,-1.0,-2.887,-40.1195
25.0,Construction,-1.0,-6.0853,-36.6673
21.0,Construction,-1.0,-6.079,-36.674
17.0,Construction,-1.0,-6.0976,-36.6294
46.0,Construction,-1.0,-6.0916,-36.648
29.0,Operating,2022.0,-5.3246,-36.5062
29.0,Operating,2022.0,-5.3612,-36.4723
29.0,Operating,2022.0,-5.4091,-36.4925
17.0,Operating,2022.0,-5.3504,-36.4693
25.0,Operating,2022.0,-5.3151,-36.4892
29.0,Operating,2022.0,-5.3562,-36.4974
36.0,Construction,2024.0,-5.3842,-36.1097
23.0,Construction,2024.0,-5.3677,-36.1072
22.0,Operating,2012.0,-26.6183,-51.5645
30.0,Operating,2012.0,-26.5849,-51.7534
11.0,Operating,2012.0,-26.6124,-51.7402
30.0,Operating,2012.0,-26.5996,-51.7255
30.0,Operating,2012.0,-26.5885,-51.8138
51.0,Operating,2010.0,-5.0942,-36.3631
101.0,Operating,2012.0,-5.1243,-36.3833
10.0,Operating,2014.0,-14.1857,-42.6466
21.0,Operating,2014.0,-14.2017,-42.6183
29.0,Operating,2014.0,-14.2189,-42.6414
30.0,Operating,2014.0,-13.8606,-42.6574
11.0,Operating,2014.0,-13.8823,-42.6631
24.0,Operating,2014.0,-14.1769,-42.6541
29.0,Operating,2014.0,-13.8957,-42.6769
26.0,Operating,2014.0,-14.0148,-42.6339
24.0,Operating,2014.0,-14.2021,-42.6589
27.0,Operating,2014.0,-13.9879,-42.6389
30.0,Operating,2014.0,-14.164,-42.6006
19.0,Operating,2014.0,-14.1555,-42.6382
29.0,Operating,2015.0,-14.1324,-42.5924
20.0,Operating,2016.0,-14.5084,-42.5867
30.0,Operating,2016.0,-14.4689,-42.5836
29.0,Operating,2015.0,-13.8633,-42.7281
10.0,Operating,2016.0,-14.477,-42.5853
30.0,Operating,2015.0,-14.0857,-42.6203
30.0,Operating,2014.0,-14.0885,-42.6827
22.0,Operating,2016.0,-14.5292,-42.5867
30.0,Operating,2015.0,-14.0292,-42.6161
30.0,Operating,2014.0,-14.1473,-42.7119
18.0,Operating,2016.0,-14.4957,-42.5829
30.0,Operating,2014.0,-14.0305,-42.6245
24.0,Operating,2014.0,-14.1197,-42.6142
22.0,Operating,2014.0,-13.9499,-42.6382
32.0,Operating,2014.0,-14.1296,-42.5597
24.0,Operating,2022.0,-14.2778,-42.5435
16.0,Operating,2022.0,-13.9156,-42.6978
14.0,Operating,2022.0,-13.8351,-42.7038
22.0,Operating,2022.0,-14.0441,-42.6543
16.0,Operating,2022.0,-13.8266,-42.7043
12.0,Operating,2022.0,-14.329,-42.5723
16.0,Operating,2022.0,-13.9946,-42.6908
21.0,Operating,2022.0,-14.5569,-42.5825
16.0,Operating,2022.0,-13.8636,-42.6909
21.0,Operating,2022.0,-14.5562,-42.582
16.0,Operating,2022.0,-13.8294,-42.6908
19.0,Operating,2022.0,-13.8419,-42.6906
14.0,Operating,2022.0,-14.017,-42.6764
14.0,Operating,2022.0,-14.0057,-42.6672
18.0,Operating,2022.0,-14.5356,-42.5758
19.0,Operating,2022.0,-14.2671,-42.5367
11.0,Operating,2022.0,-13.9811,-42.679
14.0,Operating,2022.0,-14.0155,-42.6633
19.0,Operating,2022.0,-13.8379,-42.6486
22.0,Operating,2022.0,-13.9077,-42.705
15.0,Operating,2022.0,-14.3159,-42.5721
19.0,Operating,2022.0,-13.9803,-42.6656
23.0,Operating,2022.0,-14.2596,-42.5544
16.0,Operating,2022.0,-14.2548,-42.5505
3000.0,Accounced,-1.0,-33.925,-52.932
24.0,Operating,2014.0,-3.0984,-39.6663
30.0,Operating,2014.0,-3.0666,-39.7026
22.0,Operating,2014.0,-3.0983,-39.6785
38.0,Operating,2023.0,-6.2627,-36.5173
46.0,Operating,2023.0,-6.2627,-36.5173
55.0,Operating,2023.0,-6.2627,-36.5173
14.0,Operating,2012.0,-5.092,-36.3377
27.0,Operating,2014.0,-4.9686,-36.9009
30.0,Operating,2015.0,-4.9438,-36.9918
30.0,Operating,2014.0,-4.9457,-37.0036
30.0,Operating,2015.0,-4.9618,-37.0355
31.0,Operating,2020.0,-9.8051,-41.0227
31.0,Operating,2020.0,-9.816,-41.0389
31.0,Operating,2020.0,-9.8355,-41.0427
28.0,Operating,2013.0,-5.3042,-35.382
47.0,Construction,2024.0,-12.5779,-38.0049
43.0,Construction,2024.0,-12.5779,-38.0049
43.0,Construction,2024.0,-12.5779,-38.0049
43.0,Construction,2024.0,-12.5779,-38.0049
43.0,Construction,2024.0,-12.5779,-38.0049
39.0,Construction,2024.0,-12.5779,-38.0049
47.0,Construction,2024.0,-12.5779,-38.0049
43.0,Construction,2024.0,-12.5779,-38.0049
32.0,Operating,2014.0,-5.3291,-35.9916
32.0,Operating,2014.0,-5.3828,-36.0088
32.0,Operating,2014.0,-5.3596,-35.9987
32.0,Operating,2014.0,-5.2529,-35.943
32.0,Operating,2014.0,-5.2812,-35.9804
36.0,Operating,2023.0,-11.0254,-42.6411
31.5,Operating,2023.0,-11.036,-42.6145
36.0,Operating,2023.0,-11.0604,-42.6306
36.0,Operating,2023.0,-10.8217,-42.7266
36.0,Operating,2023.0,-11.1073,-42.6292
36.0,Operating,2023.0,-11.0662,-42.603
40.5,Construction,-1.0,-10.9822,-42.6101
36.0,Construction,-1.0,-11.0007,-42.6312
31.5,Construction,-1.0,-11.0186,-42.6765
40.5,Construction,-1.0,-11.0238,-42.589
40.5,Construction,-1.0,-11.133,-42.6313
22.5,Operating,-1.0,-11.1007,-42.6987
30.0,Operating,2016.0,-11.1638,-42.6707
12.0,Operating,2018.0,-11.1677,-42.6849
30.0,Operating,2018.0,-11.0475,-42.6876
20.0,Operating,2016.0,-11.1841,-42.7053
18.0,Operating,2016.0,-11.0711,-42.6788
28.0,Operating,2018.0,-11.1761,-42.7386
20.0,Operating,2018.0,-11.1339,-42.6543
28.0,Operating,2018.0,-11.2118,-42.7012
18.0,Operating,2018.0,-11.1056,-42.6731
18.0,Operating,2018.0,-11.0904,-42.683
28.0,Operating,2018.0,-11.1228,-42.6841
30.0,Operating,2018.0,-11.1297,-42.6985
25.0,Operating,2019.0,-11.0354,-42.6321
25.0,Operating,2018.0,-11.1145,-42.6711
25.0,Operating,2019.0,-11.0812,-42.618
30.0,Operating,2014.0,-30.3188,-50.3161
30.0,Operating,2014.0,-30.3266,-50.3234
30.0,Operating,2014.0,-30.2919,-50.335
30.0,Operating,2013.0,-30.2915,-50.305
28.0,Operating,2018.0,-5.3801,-35.8068
21.0,Operating,2021.0,-5.3257,-35.7341
25.0,Operating,2021.0,-5.3266,-35.7543
29.0,Operating,2023.0,-5.3396,-35.7674
29.0,Operating,2023.0,-5.3263,-35.794
160.0,Accounced,2024.0,-6.6825,-36.6333
13.0,Operating,2016.0,-14.3461,-42.6137
28.0,Operating,2016.0,-14.2927,-42.5853
31.0,Operating,2016.0,-14.3912,-42.5939
17.0,Operating,2016.0,-14.3381,-42.5911
22.0,Operating,2016.0,-14.4528,-42.641
30.0,Operating,2016.0,-14.4199,-42.6287
30.0,Operating,2016.0,-14.3776,-42.6094
360.0,Construction,2024.0,-11.1145,-41.3314
